Time(s),Thrust(N),,Data Max,94765.72156,Time Normalized 0-1,Thrust Normalized 0-1,,,
10.14,32075.33613,,,,0.203614458,0.338469814,,,
10.17,32133.91482,,,,0.204216867,0.339087956,,,
10.2,32192.47621,,,,0.204819277,0.339705916,,,
10.23,32251.02031,,,,0.205421687,0.340323693,,,
10.26,32309.54712,,,,0.206024096,0.340941288,,,
10.29,32368.05664,,,,0.206626506,0.3415587,,,
10.32,32426.54887,,,,0.207228916,0.34217593,,,
10.35,32485.02381,,,,0.207831325,0.342792977,,,
10.38,32543.48146,,,,0.208433735,0.343409842,,,
10.41,32601.92183,,,,0.209036145,0.344026524,,,
10.44,32660.34492,,,,0.209638554,0.344643025,,,
10.47,32718.75072,,,,0.210240964,0.345259343,,,
10.5,32777.13924,,,,0.210843373,0.345875478,,,
10.53,32835.51049,,,,0.211445783,0.346491431,,,
10.56,32893.86446,,,,0.212048193,0.347107202,,,
10.59,32952.20115,,,,0.212650602,0.347722791,,,
10.62,33010.52057,,,,0.213253012,0.348338197,,,
10.65,33068.82272,,,,0.213855422,0.348953421,,,
10.68,33127.1076,,,,0.214457831,0.349568463,,,
10.71,33185.37521,,,,0.215060241,0.350183322,,,
10.74,33243.62555,,,,0.215662651,0.350798,,,
10.77,33301.85862,,,,0.21626506,0.351412495,,,
10.8,33360.07443,,,,0.21686747,0.352026808,,,
10.83,33418.27297,,,,0.21746988,0.352640938,,,
10.86,33476.45425,,,,0.218072289,0.353254887,,,
10.89,33534.61828,,,,0.218674699,0.353868653,,,
10.92,33592.76504,,,,0.219277108,0.354482238,,,
10.95,33650.89454,,,,0.219879518,0.35509564,,,
10.98,33709.00679,,,,0.220481928,0.35570886,,,
11.01,33767.10179,,,,0.221084337,0.356321898,,,
11.04,33825.17953,,,,0.221686747,0.356934754,,,
11.07,33883.24002,,,,0.222289157,0.357547428,,,
11.1,33941.28326,,,,0.222891566,0.35815992,,,
11.13,33999.30926,,,,0.223493976,0.35877223,,,
11.16,34057.318,,,,0.224096386,0.359384358,,,
11.19,34115.3095,,,,0.224698795,0.359996304,,,
11.22,34173.28375,,,,0.225301205,0.360608068,,,
11.25,34231.24077,,,,0.225903614,0.36121965,,,
11.28,34289.18054,,,,0.226506024,0.36183105,,,
11.31,34347.10307,,,,0.227108434,0.362442268,,,
11.34,34405.00836,,,,0.227710843,0.363053304,,,
11.37,34462.89642,,,,0.228313253,0.363664159,,,
11.4,34520.76724,,,,0.228915663,0.364274831,,,
11.43,34578.62082,,,,0.229518072,0.364885322,,,
11.46,34636.45718,,,,0.230120482,0.365495631,,,
11.49,34694.2763,,,,0.230722892,0.366105758,,,
11.52,34752.07819,,,,0.231325301,0.366715703,,,
11.55,34809.86285,,,,0.231927711,0.367325466,,,
11.58,34867.63029,,,,0.23253012,0.367935048,,,
11.61,34925.3805,,,,0.23313253,0.368544448,,,
11.64,34983.11349,,,,0.23373494,0.369153666,,,
11.67,35040.82925,,,,0.234337349,0.369762702,,,
11.7,35098.5278,,,,0.234939759,0.370371557,,,
11.73,35156.20912,,,,0.235542169,0.370980229,,,
11.76,35213.87323,,,,0.236144578,0.371588721,,,
11.79,35271.52012,,,,0.236746988,0.37219703,,,
11.82,35329.14979,,,,0.237349398,0.372805158,,,
11.85,35386.76225,,,,0.237951807,0.373413104,,,
11.88,35444.35749,,,,0.238554217,0.374020869,,,
11.91,35501.93553,,,,0.239156627,0.374628452,,,
11.94,35559.49635,,,,0.239759036,0.375235853,,,
11.97,35617.03997,,,,0.240361446,0.375843073,,,
12,35674.56638,,,,0.240963855,0.376450111,,,
12.03,35732.07558,,,,0.241566265,0.377056967,,,
12.06,35789.56758,,,,0.242168675,0.377663642,,,
12.09,35847.04238,,,,0.242771084,0.378270136,,,
12.12,35904.49997,,,,0.243373494,0.378876448,,,
12.15,35961.94037,,,,0.243975904,0.379482578,,,
12.18,36019.36356,,,,0.244578313,0.380088527,,,
12.21,36076.76956,,,,0.245180723,0.380694295,,,
12.24,36134.15836,,,,0.245783133,0.381299881,,,
12.27,36191.52997,,,,0.246385542,0.381905286,,,
12.3,36248.88438,,,,0.246987952,0.382510509,,,
12.33,36306.22161,,,,0.247590361,0.383115551,,,
12.36,36363.54164,,,,0.248192771,0.383720411,,,
12.39,36420.84448,,,,0.248795181,0.38432509,,,
12.42,36478.13014,,,,0.24939759,0.384929588,,,
12.45,36535.39861,,,,0.25,0.385533904,,,
12.48,36592.64989,,,,0.25060241,0.386138039,,,
12.51,36649.88399,,,,0.251204819,0.386741993,,,
12.54,36707.10091,,,,0.251807229,0.387345765,,,
12.57,36764.30064,,,,0.252409639,0.387949356,,,
12.6,36821.4832,,,,0.253012048,0.388552766,,,
12.63,36878.64858,,,,0.253614458,0.389155994,,,
12.66,36935.79678,,,,0.254216867,0.389759041,,,
12.69,36992.9278,,,,0.254819277,0.390361907,,,
12.72,37050.04166,,,,0.255421687,0.390964592,,,
12.75,37107.13833,,,,0.256024096,0.391567095,,,
12.78,37164.21784,,,,0.256626506,0.392169418,,,
12.81,37221.28018,,,,0.257228916,0.392771559,,,
12.84,37278.32535,,,,0.257831325,0.393373519,,,
12.87,37335.35335,,,,0.258433735,0.393975298,,,
12.9,37392.36418,,,,0.259036145,0.394576895,,,
12.93,37449.35785,,,,0.259638554,0.395178312,,,
12.96,37506.33436,,,,0.260240964,0.395779547,,,
12.99,37563.2937,,,,0.260843373,0.396380601,,,
