Time(s),Thrust(N)
13.23,83516.91233
13.26,82707.74157
13.29,81965.68919
13.32,81256.629
13.35,80618.86742
13.38,80024.02589
13.41,79181.59532
13.44,78469.5039
13.47,77905.03376
13.5,77427.40724
13.53,76947.57886
13.56,76389.16706
13.59,75977.60978
13.62,75441.72888
13.65,74860.78383
13.68,74348.66814
13.71,73927.80263
13.74,73149.43533
13.77,72946.15893
13.8,72478.4669
13.83,71990.59995
13.86,71590.48759
13.89,71126.1727
13.92,70691.46923
13.95,70414.14521
13.98,69757.53819
14.01,69398.11003
14.04,68984.21794
14.07,68550.26828
14.1,68206.99453
14.13,67603.5421
14.16,67477.09288
14.19,66957.46013
14.22,66627.89411
14.25,66266.60039
14.28,65813.20918
14.31,65292.18574
14.34,65046.05055
14.37,64641.69974
14.4,64217.30396
14.43,64024.39865
14.46,63579.30157
14.49,63250.85202
14.52,62971.20907
14.55,62340.54425
14.58,62041.56078
14.61,61590.14447
14.64,61312.75026
14.67,61048.49619
14.7,60635.07164
14.73,60444.42234
14.76,60052.24255
14.79,59649.42928
14.82,59329.77108
14.85,58921.97272
14.88,58694.286
14.91,58122.12284
14.94,57933.10516
14.97,57638.94905
15.0,57181.78011
15.03,57005.64679
15.06,56602.264
15.09,56321.29543
15.12,55890.75336
15.15,55440.87609
15.18,55282.72329
15.21,54820.79731
15.24,54576.90482
15.27,54323.02718
15.3,53987.78799
15.33,53726.60779
15.36,53391.70805
15.39,52986.58531
15.42,52646.38492
15.45,52367.13923
15.48,52082.77661
15.51,51782.04285
15.54,51464.50435
15.57,51168.04421
15.6,50823.08599
15.63,50445.75795
15.66,50002.07942
15.69,49790.50176
15.72,49493.75714
15.75,49197.60807
15.78,48892.68157
15.81,48692.56564
15.84,48316.9851
15.87,48047.34413
15.9,47717.4617
15.93,47368.95177
15.96,47075.01294
15.99,46827.25217
16.02,46512.03916
16.05,46283.09342
16.08,45970.56768
16.11,45586.24371
16.14,45440.8263
16.17,45008.61037
16.2,44627.94344
16.23,44249.21327
16.26,44073.99036
16.29,43749.62238
16.32,43487.58673
16.35,43191.41933
16.38,43028.31646
16.41,42576.73417
16.44,42380.64966
16.47,41988.10259
16.5,41688.1569
16.53,41346.46237
16.56,41258.66094
16.59,40880.08017
16.62,40588.66825
16.65,40313.80723
16.68,40156.11329
16.71,39734.57916
16.74,39488.4344
16.77,38977.44697
16.8,38708.43393
16.83,38478.37858
16.86,38310.10386
16.89,37813.5392
16.92,37672.67857
16.95,37466.39438
16.98,36913.39333
17.01,35799.39036
17.04,35145.50387
17.07,34813.5416
17.1,33645.21175
17.13,33049.19033
17.16,32446.53763
17.19,32037.77776
17.22,31283.28967
17.25,30614.40422
17.28,29911.90323
17.31,28913.28708
17.34,28259.23938
17.37,27520.52973
17.4,27127.87943
17.43,26167.9794
17.46,25757.12616
17.49,25432.24203
17.52,24915.36638
17.55,24126.20941
17.58,23500.51071
17.61,23173.434
17.64,22464.412
17.67,21753.23265
17.7,21107.21505
17.73,20792.69317
17.76,20615.09941
17.79,19958.79297
17.82,19289.14191
17.85,18697.32264
17.88,18356.14706
17.91,17607.63012
17.94,16820.06799
17.97,16398.45296
18.0,15975.26448
18.03,15231.59358
18.06,14848.51845
18.09,14668.7951
18.12,14109.50613
18.15,13818.80369
18.18,13322.20588
18.21,12784.54038
18.24,12498.18032
18.27,12052.34404
18.3,11331.96725
18.33,10848.93183
18.36,10300.38923
18.39,10176.70073
18.42,10012.03402
18.45,9559.58763
18.48,9053.34432
18.51,8472.21364
18.54,7988.20781
18.57,7823.99581
18.6,7422.09494
18.63,6727.53037
18.66,6141.38319
18.69,5834.45099
18.72,5553.09772
18.75,5188.1358
18.78,4884.27888
18.81,4587.05504
18.84,4269.26625
18.87,3955.15999
18.9,3566.29365
18.93,3356.60854
18.96,2907.41521
18.99,2563.47816
19.02,2078.86338
19.05,1725.16144
19.08,1218.8536
19.11,865.64818
19.14,765.98704
19.17,399.02353
19.2,311.41444
19.23,0
