Time(s),Thrust(N)
20.76,36416.20527
20.79,36374.33344
20.82,36351.28864
20.85,36327.57961
20.88,36303.88028
20.91,36280.19067
20.94,36234.57813
20.97,36242.25837
21.0,36249.29428
21.03,36190.20088
21.06,36167.53615
21.09,36144.26648
21.12,36121.00617
21.15,36097.75538
21.18,36163.77444
21.21,36101.80206
21.24,36139.36496
21.27,36181.88106
21.3,36164.61308
21.33,36141.85187
21.36,36119.09974
21.39,36096.35677
21.42,36073.49781
21.45,36003.02489
21.48,36009.88954
21.51,36016.05642
21.54,35981.22093
21.57,35957.78184
21.6,35934.35244
21.63,35910.93269
21.66,35887.95933
21.69,35834.74395
21.72,35842.53561
21.75,35849.3976
21.78,35798.79925
21.81,35775.43216
21.84,35752.07473
21.87,35728.7268
21.9,35705.78954
21.93,35683.66104
21.96,35676.09386
21.99,35683.36549
22.02,35690.24527
22.05,35593.6509
22.08,35657.97315
22.11,35634.62472
22.14,35611.64063
22.17,35677.03428
22.2,35597.2236
22.23,35604.71506
22.26,35611.70212
22.29,35586.86659
22.32,35563.53559
22.35,35540.21422
22.38,35517.19979
22.41,35495.09812
22.44,35430.69698
22.47,35438.36403
22.5,35444.85779
22.53,35405.32745
22.56,35382.07139
22.59,35358.82499
22.62,35335.81427
22.65,35313.77337
22.68,35264.17606
22.71,35271.90419
22.74,35278.61873
22.77,35224.31858
22.8,35201.1241
22.83,35177.93925
22.86,35154.90827
22.89,35132.9351
22.92,35110.9706
22.95,35105.18585
22.98,35112.39075
23.01,35193.17226
23.04,35107.191
23.07,35084.01385
23.1,35147.35278
23.13,35125.32049
23.16,35103.29689
23.19,35024.91051
23.22,35032.40884
23.25,35038.5512
23.28,35012.9359
23.31,34989.78162
23.34,34966.63689
23.37,34944.63964
23.4,34922.70058
23.43,34858.0871
23.46,34865.74812
23.49,34871.75687
23.52,34832.77913
23.55,34809.7047
23.58,34786.63987
23.61,34764.60327
23.64,34742.73855
23.67,34720.88248
23.7,34699.10772
23.73,34705.26301
23.76,34711.18187
23.79,34630.23165
23.82,34607.2467
23.85,34585.1617
23.88,34563.37652
23.91,34541.59995
23.94,34532.31381
23.97,34538.86176
24.0,34615.79546
24.03,34536.71712
24.06,34513.74333
24.09,34576.83715
24.12,34554.99212
24.15,34533.15573
24.18,34450.7544
24.21,34457.59093
24.24,34463.91826
24.27,34442.91372
24.3,34419.96384
24.33,34397.61819
24.36,34375.85263
24.39,34354.0956
24.42,34332.34705
24.45,34290.93953
24.48,34297.07965
24.51,34264.28959
24.54,34241.40869
24.57,34218.97517
24.6,34197.28323
24.63,34175.59975
24.66,34153.92476
24.69,34124.30893
